The Church announced the names of 127 new mission presidents earlier this year. The majority began their three-year calling in July of this year.

  Mission                                 New President
  --------------------------------------- --------------------------
  Alaska Anchorage                        N. Warren Clark
  Albania Tirana                          Andrew M. Ford
  Alpine German-Speaking                  Richard L. Miles
  Argentina Buenos Aires West             Douglas B. Carter
  Argentina Mendoza                       Sergio E. Avila
  Argentina Resistencia                   Raymond S. Heyman
  Argentina Rosario                       Hugo L. Giuliani
  Argentina Salta                         Juan J. Levrino
  Arizona Phoenix                         R. Scott Taylor
  Arizona Tucson                          Roger E. Killpack
  Arkansas Little Rock                    Daniel Bay Gibbons
  Baltic                                  Jeffrey G. Boswell
  Benin Cotonou                           Robert F. Weed
  Bolivia Cochabamba                      Dan L. Dyer
  Brazil Brasilia                         Helcio L. Gaertner
  Brazil Florianopolis                    J. Joel Fernandes
  Brazil Fortaleza                        Francisco A. Souza
  Brazil Maceió                           Mauricio G. Gonzaga
  Brazil Manaus                           H. Moroni Klein
  Brazil Recife                           Rubens C. Lanius
  Brazil Rio de Janeiro                   Geraldo Lima
  Brazil Salvador                         James W. Hart
  Brazil São Paulo Interlagos             R. Pacheco Pinho
  Brazil São Paulo North                  Marcus H. Martins
  Brazil São Paulo South                  John S. Tanner
  Brazil Vitória                          J. Araújo Bezerra
  California Anaheim                      Bradford C Bowen
  California Arcadia                      Jorge T. Becerra
  California Fresno                       Larry Gelwix
  California Riverside                    Paul F. Smart
  California Roseville                    John G. Weston
  California Sacramento                   H. Benson Lewis
  California San Diego                    Paul N. Clayton
  California San Jose                     W. Lincoln Watkins
  California Ventura                      Fernando R. Castro
  Canada Vancouver                        Karl M. Tilleman
  Cape Verde Praia                        Roberto F. Oliveira
  Chile Concepción South                  Osvaldo Martinez Carreño
  Chile Osorno                            John E. Rappleye
  Chile Santiago North                    Fred D. Essig
  Colombia Cali                           Jonathan M. Prince
  Colorado Colorado Springs               J. Patrick Anderson
  Colorado Denver North                   Jerry M. Toombs
  Côte d’Ivoire Abidjan                   Z. Dominique Dekaye
  Democratic Republic of Congo Kinshasa   Brent L Jameson
  Dominican Republic Santo Domingo East   Heriberto Hernandez
  Dominican Republic Santo Domingo West   Raul Rodriguez Morel
  Ecuador Guayaquil North                 Lizardo H. Amaya
  Ecuador Quito                           Bruce E. Ghent
  El Salvador San Salvador                David L. Glazier
  El Salvador Santa Ana/Belize            I. Poloski Cordon
  England Manchester                      Robert I. Preston
  Fiji Suva                               Kenneth D. Klingler
  Finland Helsinki                        Douglas M. Rawlings
  Florida Fort Lauderdale                 Donald E. Anderson
  France Paris                            Franck Poznanski
  Georgia Atlanta North                   Mark A. Wolfert
  Germany Frankfurt                       Lehi K. Schwartz
  Ghana Accra                             Daniel K Judd
  Ghana Cape Coast                        Jeffrey L. Shulz
  Guatemala Guatemala City Central        M. Joseph Brough
  Guatemala Guatemala City North          Edward D. Watts
  Guatemala Guatemala City South          Larry Stay
  Guatemala Quetzaltenango                Lewis Bautista
  Honduras Tegucigalpa                    Carlos A. Hernandez
  Japan Kobe                              Richard G. Zinke
  Japan Sapporo                           Eric C. Evans
  Japan Sendai                            Gary D. Rasmussen
  Kentucky Louisville                     W. Richards Woodbury
  Korea Busan                             Lynn A. Gilbert
  Louisiana Baton Rouge                   Jim M. Wall
  Mexico Mexico City North                J. Dana Call
  Mexico Mexico City Southeast            Raymundo Morales Barrera
  Mexico Oaxaca                           Enrique Leyva Jimenez
  Mexico Puebla                           Robert C. Reeves
  Mexico Tijuana                          Armando Carreón Rivera
  Mexico Torreón                          David Flores Villaseñor
  Mexico Tuxtla Gutiérrez                 Juan G. Cardenas Tamayo
  Mexico Veracruz                         Carlos W. Treviño
  Michigan Lansing                        Stephen H. Hess
  Micronesia Guam                         Stephen F. Mecham
  Minnesota Minneapolis                   Jordan W. Clements
  Missouri Independence                   Donald J. Keyes
  Mongolia Ulaanbaatar                    Jay D. Clark*
  Nevada Las Vegas                        Michael A. Neider
  New Jersey Morristown                   Jon M. Jeppson
  New Zealand Auckland                    Paul N. Lekias
  New Zealand Wellington                  Michael L. Kezerian
  Nigeria Lagos                           Edward K. B. Karkari
  Nigeria Port Harcourt                   Philip K. Xaxagbe
  Ohio Columbus                           Robert T. Nilsen
  Oregon Eugene                           Mark A. Young
  Oregon Portland                         C. Jeffery Morby
  Pennsylvania Pittsburgh                 Clinton D Topham
  Peru Chiclayo                           Eduardo C. Risso
  Peru Lima East                          Nelson Ardila Vásquez
  Philippines Angeles                     David C. Martino
  Philippines Cebu                        Evan A. Schmutz
  Philippines Davao                       Ferdinand Pangan
  Philippines Manila                      Lyle J. Stucki
  Philippines Olongapo                    Roberto B. Querido
  Philippines Quezon City North           Dennis R. Sperry
  Philippines San Pablo                   George E. Peterson
  Philippines Tacloban                    Jose V. Andaya
  Romania Bucharest                       Ned C. Hill
  Russia Novosibirsk                      Steven M. Petersen
  Russia St. Petersburg                   Jon Beesley
  Russia Yekaterinburg                    E. Kent Rust
  Samoa Apia                              Johnny L. Leota
  Slovenia/Croatia                        Edward B. Rowe
  South Africa Cape Town                  Mark I. Wood
  South Africa Johannesburg               S. Craig Omer
  South Carolina Columbia                 Monte Holm
  Sweden Stockholm                        Gregory J. Newell
  Tahiti Papeete                          Benjamin T. Sinjoux
  Tennessee Knoxville                     Richard A. Irion
  Tennessee Nashville                     William L. McKee
  Texas Dallas                            Devin G. Durrant
  Texas Houston                           John C. Pingree
  Texas Houston East                      Thomas J. Crawford
  Texas Lubbock                           Arnold R. Augustin
  Ukraine Donetsk                         Vladimir Campero
  Ukraine Kyiv                            Jörg Klebingat
  Venezuela Caracas                       Vianey R. Villamizar
  Washington Tacoma                       Douglas W. Weaver
  West Virginia Charleston                Bruce G. Pitt
  Zambia Lusaka                           Mikele R. Padovich
