dirty_id,dirty_name,clean_id,clean_name,entity_type,pattern
33,17:30.,25073,17:30,period,trailing_punct
34,17:45.,34090,17:45,period,trailing_punct
45,29:13.,39467,29:13,period,trailing_punct
58,25:28.,3727,25:28,period,trailing_punct
364,Elder Snow's,108022,Elder Snow,person,possessive
443,Elder Stenhouse's,562,Elder Stenhouse,place,possessive
530,"May 17, 1851:",213919,"May 17, 1851",period,trailing_punct
698,H. A.,564378,H. A,person,trailing_punct
758,2:43.,59425,2:43,period,trailing_punct
1085,34:30.,578756,34:30,period,trailing_punct
1618,13:21.,44333,13:21,period,trailing_punct
1744,B. Young's,214453,B. Young,person,possessive
1794,15:42.,393476,15:42,period,trailing_punct
1905,2:26.,34136,2:26,period,trailing_punct
2439,20:37.,25761,20:37,period,trailing_punct
2442,8:19.,23086,8:19,period,trailing_punct
2467,29:28.,32848,29:28,period,trailing_punct
2519,24:20.,567375,24:20,period,trailing_punct
2669,21:21.,31120,21:21,period,trailing_punct
3155,Napoleon Bonaparte's,398946,Napoleon Bonaparte,person,possessive
3167,J. F. Smith's,3184,J. F. Smith,person,possessive
3592,abraham Abraham,3278,Abraham,person,duplicated_word
3629,anna Anna,3448,Anna,person,duplicated_word
3661,17:56.,200156,17:56,period,trailing_punct
3663,Isaac’s,18915,Isaac,person,possessive
4268,23:19.,24051,23:19,period,trailing_punct
4462,15:19.,23571,15:19,period,trailing_punct
4497,9:24.,393094,9:24,period,trailing_punct
4642,8:56.,391005,8:56,period,trailing_punct
4906,Ministrar Ministrar,19366,Ministrar,person,duplicated_word
5006,Himnos Himnos,5228,Himnos,person,duplicated_word
5270,“La Familia,129081,La Familia,place,leading_quote
5413,Orar Orar,179382,Orar,person,duplicated_word
6214,Incesto Incesto,6212,Incesto,person,duplicated_word
6534,Hospitales Hospitales,6672,Hospitales,person,duplicated_word
6718,“Aprenda,146106,Aprenda,person,leading_quote
6820,EE. UU.,149728,EE. UU,place,trailing_punct
8244,Tumim.,8608,Tumim,place,trailing_punct
8462,Adversidad.,9576,Adversidad,people,trailing_punct
9127,“Dijo,11304,Dijo,person,leading_quote
9131,“Obedecí,18247,Obedecí,person,leading_quote
9134,“Intenté sacarlas,18248,Intenté sacarlas,person,leading_quote
9137,"Intellectual Reserve,",262491,Intellectual Reserve,person,trailing_punct
10887,GEE Sacrificios.,8095,GEE Sacrificios,place,trailing_punct
11220,GEE Orgullo.,7479,GEE Orgullo,place,trailing_punct
11474,Trinidad.,364054,Trinidad,person,trailing_punct
13502,Casa del Señor.,5653,Casa del Señor,place,trailing_punct
13698,“¿Dónde,9387,¿Dónde,person,leading_quote
14396,Daniel Daniel,18661,Daniel,person,duplicated_word
15418,“José,19735,José,person,leading_quote
15928,GEE Espíritu Santo.,7978,GEE Espíritu Santo,place,trailing_punct
15970,Jehová Dios de Israel:,12618,Jehová Dios de Israel,person,trailing_punct
16201,Job Job,19090,Job,person,duplicated_word
18133,Jesus Christ's,18644,Jesus Christ,person,possessive
18777,david David,18663,David,person,duplicated_word
18785,deborah Deborah,18665,Deborah,person,duplicated_word
18845,eve Eve,18687,Eve,person,duplicated_word
19015,hezekiah Hezekiah,18906,Hezekiah,person,duplicated_word
19046,immanuel Immanuel,18913,Immanuel,person,duplicated_word
19128,japheth Japheth,19077,Japheth,person,duplicated_word
19161,jonathan Jonathan,19095,Jonathan,person,duplicated_word
19195,Spencer W.,161241,Spencer W,person,trailing_punct
19282,lucifer Lucifer,19261,Lucifer,person,duplicated_word
19286,luke Luke,19262,Luke,person,duplicated_word
19335,martha Martha,19299,Martha,person,duplicated_word
19346,matthew Matthew,19212,Matthew,person,duplicated_word
19361,michael Michael,19317,Michael,person,duplicated_word
19374,miriam Miriam,19321,Miriam,person,duplicated_word
19404,nathan Nathan,19330,Nathan,person,duplicated_word
19493,David W.,527401,David W,person,trailing_punct
19507,paul Paul,19494,Paul,person,duplicated_word
19632,raphael Raphael,30854,Raphael,person,duplicated_word
19663,ruth Ruth,19549,Ruth,person,duplicated_word
19674,sam Sam,19557,Sam,person,duplicated_word
19678,samson Samson,19560,Samson,person,duplicated_word
19685,sarah Sarah,19563,Sarah,person,duplicated_word
19732,Joseph F.,248168,Joseph F,person,trailing_punct
19744,Samuel H.,560197,Samuel H,person,trailing_punct
19802,thomas Thomas,19268,Thomas,person,duplicated_word
19843,virgin Virgin,691869,Virgin,place,duplicated_word
19893,Frederick G.,514663,Frederick G,person,trailing_punct
19906,zacharias Zacharias,19871,Zacharias,person,duplicated_word
19908,zebulun Zebulun,19873,Zebulun,person,duplicated_word
19912,zedekiah Zedekiah,19875,Zedekiah,person,duplicated_word
19914,zeniff Zeniff,19913,Zeniff,person,duplicated_word
19921,zephaniah Zephaniah,19878,Zephaniah,person,duplicated_word
20090,U.S.,673473,U.S,place,trailing_punct
20163,Ministering Ministering,123455,Ministering,person,duplicated_word
20192,Nursery Nursery,317211,Nursery,people,duplicated_word
21291,Heavenly Father’s,3567,Heavenly Father,person,possessive
21617,Abuse Abuse,22467,Abuse,people,duplicated_word
22581,Jesus Christ’s,18644,Jesus Christ,person,possessive
23067,B.C.,506953,b.c,place,trailing_punct
23079,"TG Jesus Christ,",22991,TG Jesus Christ,person,trailing_punct
23090,14:30.,24249,14:30,period,trailing_punct
23176,10:16.,23562,10:16,period,trailing_punct
23180,Church of.,23195,Church of,people,trailing_punct
23271,14:27.,786892,14:27,period,trailing_punct
23297,B.C. Lehi’s,23013,B.C. Lehi,person,possessive
23311,19:23.,23809,19:23,period,trailing_punct
23321,10:26.,396473,10:26,period,trailing_punct
23480,25:20.,397219,25:20,period,trailing_punct
23554,25:19.,23017,25:19,period,trailing_punct
23708,27:26.,46934,27:26,period,trailing_punct
23709,5:19.,23248,5:19,period,trailing_punct
23772,Lehi’s,19072,Lehi,person,possessive
23916,9:14.,27610,9:14,period,trailing_punct
24114,17:29.,23663,17:29,period,trailing_punct
24150,David’s,18663,David,person,possessive
24271,11:36.,30605,11:36,period,trailing_punct
24389,“Introducción,5042,Introducción,place,leading_quote
24401,19:10.,30425,19:10,period,trailing_punct
24477,15:13.,23231,15:13,period,trailing_punct
24490,28:21.,24850,28:21,period,trailing_punct
24723,3:21.,580757,3:21,period,trailing_punct
24724,15:26.,75073,15:26,period,trailing_punct
24810,"Jesus Christ,",18644,Jesus Christ,person,trailing_punct
25015,IE Israel’s,24151,IE Israel,people,possessive
25090,28:26.,51158,28:26,period,trailing_punct
25151,5:26.,28697,5:26,period,trailing_punct
25206,36:26.,23759,36:26,period,trailing_punct
25208,19:21.,26471,19:21,period,trailing_punct
25222,17:10.,34228,17:10,period,trailing_punct
25383,14:12.,414478,14:12,period,trailing_punct
25442,20:11.,25624,20:11,period,trailing_punct
25443,20:32.,54395,20:32,period,trailing_punct
25490,18:23.,27010,18:23,period,trailing_punct
25625,1:19.,23426,1:19,period,trailing_punct
25664,5:23.,24751,5:23,period,trailing_punct
25784,4:16.,46060,4:16,period,trailing_punct
25943,19:10;,30425,19:10,period,trailing_punct
25979,18:32.,206433,18:32,period,trailing_punct
26037,25:30.,400424,25:30,period,trailing_punct
26252,28:30;,29501,28:30,period,trailing_punct
26259,12:10.,25698,12:10,period,trailing_punct
26712,18:19.,31680,18:19,period,trailing_punct
26831,Ammon’s,3399,Ammon,person,possessive
26841,St. Peter's,94250,St. Peter,place,possessive
26859,TG Mourning.,23379,TG Mourning,person,trailing_punct
26880,90:11.,44637,90:11,period,trailing_punct
26925,11:14.,52600,11:14,period,trailing_punct
27133,10:28.,50235,10:28,period,trailing_punct
27179,16:28.,446892,16:28,period,trailing_punct
27330,13:38.,23187,13:38,period,trailing_punct
27344,9:13.,24469,9:13,period,trailing_punct
27345,1:14.,25671,1:14,period,trailing_punct
27735,1:23.,396366,1:23,period,trailing_punct
27977,6:31.,24658,6:31,period,trailing_punct
27984,18:12.,28581,18:12,period,trailing_punct
28041,Jun.,705686,Jun,place,trailing_punct
28161,9:20.,51792,9:20,period,trailing_punct
28211,New.,25568,New,place,trailing_punct
28317,28:34.,53933,28:34,period,trailing_punct
28436,11:18.,29551,11:18,period,trailing_punct
28437,16:19.,51654,16:19,period,trailing_punct
28471,58:30.,770771,58:30,period,trailing_punct
28473,17:46.,2479,17:46,period,trailing_punct
28604,9:20;,51792,9:20,period,trailing_punct
28640,Gadianton’s,25204,Gadianton,people,possessive
28777,22:26.,75132,22:26,period,trailing_punct
28813,9:28.,24648,9:28,period,trailing_punct
28814,10:34.,23753,10:34,period,trailing_punct
28831,14:21.,38107,14:21,period,trailing_punct
28882,12:34.,30588,12:34,period,trailing_punct
28904,3:18.,33203,3:18,period,trailing_punct
28933,16:10.,495175,16:10,period,trailing_punct
29185,19:14.,23964,19:14,period,trailing_punct
29239,Lorenzo Snow's,29850,Lorenzo Snow,person,possessive
29271,11:25.,23860,11:25,period,trailing_punct
29284,L. Snow's,362,L. Snow,person,possessive
29408,King Noah’s,29120,King Noah,people,possessive
29624,17:40;,29151,17:40,period,trailing_punct
29658,the king’s,777106,the King,people,possessive
29707,Joseph Smith’s,19102,Joseph Smith,person,possessive
29726,12:19.,32631,12:19,period,trailing_punct
29804,"Moses, Elijah,",618880,"Moses, Elijah",people,trailing_punct
29839,Brigham Young’s,19870,Brigham Young,person,possessive
29885,Dear Brethren:,208420,Dear Brethren,concept,trailing_punct
30014,10:14.,23300,10:14,period,trailing_punct
30196,Elder Orson Hyde's,89213,Elder Orson Hyde,person,possessive
30356,Adam’s,3289,Adam,person,possessive
30403,49:26.,38838,49:26,period,trailing_punct
30420,Joseph’s,19097,Joseph,person,possessive
30502,6:11.,23713,6:11,period,trailing_punct
30573,Joseph Knight Sr.,31372,Joseph Knight Sr,person,trailing_punct
30664,Joseph Smith Sr.,81462,Joseph Smith Sr,person,trailing_punct
30673,24:44.,607643,24:44,period,trailing_punct
30816,20:40.,40928,20:40,period,trailing_punct
30973,Authority of.,34213,Authority of,people,trailing_punct
31025,1:20.,24192,1:20,period,trailing_punct
31049,22:21;,35938,22:21,period,trailing_punct
31203,Peter Whitmer Sr.,31362,Peter Whitmer Sr,person,trailing_punct
31219,Peter Whitmer Jr.,198603,Peter Whitmer Jr,person,trailing_punct
31262,13:11.,26924,13:11,period,trailing_punct
31421,17:40.,29151,17:40,period,trailing_punct
31460,"19:13,",25461,19:13,period,trailing_punct
31819,Elder Brown's,233452,Elder Brown,person,possessive
31884,24:33.,41752,24:33,period,trailing_punct
31933,18:20.,31748,18:20,period,trailing_punct
31946,27:13.,633629,27:13,period,trailing_punct
31953,"Freedom,",192210,Freedom,people,trailing_punct
31969,28:30.,29501,28:30,period,trailing_punct
32030,14:16.,28656,14:16,period,trailing_punct
32072,Sidney Gilbert’s,30093,Sidney Gilbert,person,possessive
32081,Leman Copley’s,31718,Leman Copley,person,possessive
32171,15:24.,29094,15:24,period,trailing_punct
32213,"Priesthood, Power of.",23485,"Priesthood, Power of",people,trailing_punct
32244,64:26.,32111,64:26,period,trailing_punct
32269,Cæsar’s,32268,Cæsar,people,possessive
32326,3:14.,31677,3:14,period,trailing_punct
32384,Oliver Cowdery’s,18654,Oliver Cowdery,person,possessive
32407,25:19;,23017,25:19,period,trailing_punct
32411,42:30.,193415,42:30,period,trailing_punct
32474,TG Council in Heaven;,24197,TG Council in Heaven,people,trailing_punct
32776,South Carolina’s,30894,South Carolina,place,possessive
32973,John’s,19092,John,person,possessive
32993,TG Mourning;,23379,TG Mourning,person,trailing_punct
33129,"the ministry of the saints,",421,the ministry of the saints,people,trailing_punct
33182,27:18.,40918,27:18,period,trailing_punct
33204,Intelligence of.,32958,Intelligence of,people,trailing_punct
33219,15:57.,393058,15:57,period,trailing_punct
33307,11:40.,415054,11:40,period,trailing_punct
33354,10:10.,23186,10:10,period,trailing_punct
33377,Van Cott's,33284,Van Cott,person,possessive
33385,8:13.,25867,8:13,period,trailing_punct
33407,John John,19092,John,person,duplicated_word
33409,Peter Peter,19498,Peter,person,duplicated_word
33559,Peter’s,19498,Peter,person,possessive
33746,10:19.,3397,10:19,period,trailing_punct
33795,Paul’s,19494,Paul,person,possessive
33927,Solomon’s,19746,Solomon,person,possessive
33985,Stephen’s,19750,Stephen,person,possessive
34340,Martha’s,19299,Martha,person,possessive
34419,15:15.,53612,15:15,period,trailing_punct
34538,"TG Jesus Christ, Appearances,",24003,"TG Jesus Christ, Appearances",person,trailing_punct
34769,18:24.,29992,18:24,period,trailing_punct
34834,13:46.,26681,13:46,period,trailing_punct
35045,Philip’s,19529,Philip,person,possessive
35119,Simon’s,19581,Simon,person,possessive
35154,Pharisee’s,33964,Pharisee,people,possessive
35183,16:26.,25730,16:26,period,trailing_punct
35211,11:10.,46106,11:10,period,trailing_punct
35230,17:51.,431,17:51,period,trailing_punct
35256,11:34.,33139,11:34,period,trailing_punct
35499,9:13;,24469,9:13,period,trailing_punct
35520,Herod’s,18904,Herod,person,possessive
35521,John Baptist’s,35153,John Baptist,person,possessive
35777,2:19;,25694,2:19,period,trailing_punct
35828,51:13.,23261,51:13,period,trailing_punct
35882,11:10;,46106,11:10,period,trailing_punct
35916,17:15.,23784,17:15,period,trailing_punct
36022,25:23.,509396,25:23,period,trailing_punct
36616,24:25.,34724,24:25,period,trailing_punct
36697,Christoffel Golden Jr.,129336,Christoffel Golden Jr,person,trailing_punct
36776,Ikkesh the Tekoite:,36282,Ikkesh the Tekoite,people,trailing_punct
37089,26:38.,51559,26:38,period,trailing_punct
37385,17:34.,33648,17:34,period,trailing_punct
37386,4:29.,29003,4:29,period,trailing_punct
37428,Ahab’s,3301,Ahab,person,possessive
37520,24:13.,35684,24:13,period,trailing_punct
37582,"TG Priesthood,",23618,TG Priesthood,people,trailing_punct
37656,Jonathan’s,19095,Jonathan,person,possessive
37699,15:28.,50415,15:28,period,trailing_punct
37738,24:26.,39287,24:26,period,trailing_punct
38026,10:30.,24135,10:30,period,trailing_punct
38053,4:21.,32629,4:21,period,trailing_punct
38079,23:25.,52494,23:25,period,trailing_punct
38257,Joab’s,36233,Joab,person,possessive
38290,19:12.,398643,19:12,period,trailing_punct
38409,George A Smith's,176948,George A Smith,person,possessive
38416,Amos Amos,3416,Amos,person,duplicated_word
38424,16:13.,25563,16:13,period,trailing_punct
38586,29:38.,36452,29:38,period,trailing_punct
38611,13:28.,45353,13:28,period,trailing_punct
38696,23:16.,28495,23:16,period,trailing_punct
38700,19:26.,392051,19:26,period,trailing_punct
38768,18:13.,25270,18:13,period,trailing_punct
38783,11:21;,607499,11:21,period,trailing_punct
38835,47:19.,483016,47:19,period,trailing_punct
38857,"TG Israel,",22943,TG Israel,person,trailing_punct
38891,9:51.,25284,9:51,period,trailing_punct
