name,aliases,degree,fam,cooc,mentions,manual_cat
Christian Witness,0,89,0,39,2,3
↩ Speiser,0,33,0,13,4,2
Ecuador Guayaquil,0,136,0,94,1,3
William M. Ramsay,0,44,0,13,1,1
Phasiron PHASIRON,0,60,0,19,6,2
Michael N. Dobkowski,0,37,0,9,4,1
Jeremiah 31:8,0,103,0,26,40,3
E. M. Huggard,0,128,0,54,2,1
Matthew 3:3,0,779,0,244,235,3
Shankhar,0,93,0,49,23,1
Peter Lumbard,0,56,0,19,3,1
John Wesley,0,2070,0,737,218,1
Enfoquese,0,27,0,14,1,4
Ssonko Shafiq,0,31,0,18,1,1
Lu Ann Faylor Snyder,0,168,0,79,3,1
Yan C. Vega,0,83,0,76,1,1
Bacbuc,0,55,0,45,2,1
R. Barclay,0,56,0,28,2,1
Sacred Temple Clothing,0,102,0,58,10,3
Grosset,0,76,0,38,4,1
Pierre Venne,0,76,0,38,1,1
Thomas J. Martin,0,33,0,19,1,1
Joseph Smith’s Narrative Canon,0,258,0,115,20,3
Ben Adhem,0,24,0,10,1,1
Walter Till,0,210,0,102,3,1
Qumranic,0,24,0,8,1,5
Yang Gye-Young Spokane,0,131,0,96,1,2
Eshbaal,0,179,0,77,49,1
Liber Genesis,0,1,0,0,1,3
Carmina 1.7.2,0,90,0,37,1,3
William Hayes Ward,0,139,0,45,2,1
Envuelve,0,44,0,29,5,4
Nandini B. Pandey,0,103,0,37,4,1
Tumiri,0,74,0,33,2,1
Andrew Cardona,0,41,0,19,2,1
hell.¹⁹,0,29,0,11,1,5
D. Timmerman,0,74,0,36,1,1
Jemima Pratt,0,176,0,80,2,1
Newbould,0,387,0,166,2,1
Henry Jackman,0,46,0,30,1,1
canción folclórica inglesa; Folk Songs from Somerset,0,2,0,0,1,3
John 1:38–39,0,95,0,29,27,3
Presidente de Armenia,0,38,0,14,1,3
Son Awman,0,39,0,16,3,5
Juan: Crecí,0,15,0,7,1,5
Nahum 2,0,24,0,6,5,3
Samuel 22:2–3 Doctrina,0,57,0,4,52,5
Saraph,0,208,0,97,37,1
Kirjath BAAL,0,81,0,27,28,3
Holtz,0,60,0,20,7,1
Formulaic Expressions,0,62,0,18,14,3
Barsabbas,0,277,0,99,78,1
¿Intimidó,0,40,0,6,21,4
Scrub,0,34,0,21,1,4
Daniel - United,0,81,0,50,2,2
Ain Naba',0,5,0,0,0,3
Brian Hunt,0,30,0,10,1,1
Conaniah kon,0,7,0,0,1,2
William Harris’s,0,119,0,70,2,2
verily profiteth,0,57,0,20,12,4
Jeredites,0,79,0,30,13,3
hombre pude,0,25,0,11,1,4
n]inguno,0,33,0,16,10,5
“¡Hola,0,19,0,13,1,5
Archaic Pronouns,0,143,0,54,6,3
Benjamin B. Warfield,0,358,0,164,6,1
Gianni,0,43,0,21,1,1
Simeon Adams Dunn,0,148,0,79,1,1
Mike Leavitt,0,68,0,27,1,1
Eph 1:3-4,0,33,0,9,1,3
"Joseph M. Spencer,1st Nephi",0,77,0,29,11,2
Nitochka Silva Calisto,0,15,0,5,2,1
Albert Galatin,0,35,0,9,1,1
the Murder of the Prophet,0,48,0,29,1,3
Meses,0,56,0,28,4,4
Alma 55:17,0,21,0,8,11,3
tenían varicela,0,30,0,12,5,4
S. L. Albrecht,0,166,0,68,2,1
Machpelah Portion,0,74,0,41,5,3
Sterrett,0,167,0,49,5,1
"Vincent,",0,164,0,84,2,2
John G. Gager,0,101,0,44,9,1
Wilford W. Kirton Jr.,0,14,0,7,1,1
Brooklyn P.,0,4,0,0,2,2
Eugene D. Genovese,0,18,0,6,2,1
B.J. 5.1.6,0,95,0,29,3,3
Lee Siegel,0,68,0,30,1,1
William Parrish,0,62,0,31,2,1
Adam Haysbert,0,22,0,9,1,1
Abraham Egypt,0,41,0,14,12,2
Zlotnick,0,73,0,29,6,1
Nehemiah 8:7 Jozabad,0,90,0,42,27,2
Ex 40:34,0,47,0,10,1,3
Elizabeth Ann Whitney’s,0,83,0,32,2,2
Latinae,0,117,0,35,3,4
Matthew 4:13–16,0,48,0,13,5,3
Malachi 1:8,0,44,0,6,24,3
Emily M. Mormonism,0,120,0,56,1,2
Rafael Barrios,0,4,0,0,2,1
TaipeiChen Lin Shu-liang,0,80,0,30,1,2
Ordinances,0,21,0,6,2,3
Animen,0,45,0,17,3,5
Elizabeth Cowdery’s,0,26,0,16,1,2
Ezra 6:16,0,156,0,74,36,3
Jonathan Hyrcanus,0,42,0,16,1,1
ÏÏÎ¬Î´Î¹Î¿Î½,0,52,0,14,6,5
Su obra”⁴. Heber,0,31,0,16,1,5
Joseph F. did,0,78,0,43,1,5
Counsellor Sylvester Emmons,0,31,0,12,1,1
Lausanne Switzerland,0,36,0,4,1,3
Christopher B. Rich Jr.,0,190,0,50,5,1
38–40,0,53,0,25,10,5
“Sublime gracia,0,19,0,10,1,5
Atia,0,86,0,38,9,1
Tainui,0,50,0,16,2,3
Skins,0,48,0,15,5,4
Lydia LYDIA,0,55,0,20,7,2
Lois VandenBosch,0,45,0,23,2,1
Wisdom Behold,0,7,0,4,2,5
Thomas W. Africa,0,82,0,31,12,1
Jesus’ Atonement and Resurrection,0,50,0,16,10,3
shir hashirim,0,0,0,0,0,3
eb-ed-me'-lek,0,6,0,0,1,2
Elder Thomas Williams,0,22,0,7,2,1
Robert M. âReader-Response,0,148,0,72,12,5
Lorenzo Snow Poco,0,59,0,29,3,2
