# Reseña histórica

La siguiente cronología proporciona breves antecedentes históricos de las enseñanzas del presidente Joseph Fielding Smith que se presentan en este libro.

  --------------------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  19 de julio de 1876               Nace en Salt Lake City, Utah; sus padres son Julina Lambson Smith y Joseph F. Smith.
  19 de julio de 1884               Recibe el bautismo y la confirmación de manos de su padre. Recibe su primer ejemplar personal del Libro de Mormón como regalo de su padre.
  6 de abril de 1893                Asiste a la dedicación del Templo de Salt Lake.
  1896                              Recibe el Sacerdocio de Melquisedec y la investidura del templo.
  26 de abril de 1898               Se casa con Louie Emily Shurtliff en el Templo de Salt Lake.
  Mayo de 1899 a julio de 1901      Presta servicio como misionero de tiempo completo asignado a Inglaterra.
  1901 a 1910                       Presta servicio en muchos llamamientos de la Iglesia, entre ellos presidente de un quórum del sacerdocio, miembro de la Mesa General de la Asociación de Mejoramiento Mutuo de Hombres Jóvenes, miembro del sumo consejo y miembro de un comité general de la Iglesia asignado a preparar materiales en defensa de la Iglesia.
  Octubre de 1901                   Se le emplea en la oficina del Historiador de la Iglesia.
  1902                              Publica un cuadernillo de historia familiar titulado Asael Smith of Topsfield, Massachusetts, with Some Account of the Smith Family [Asael Smith de Topsfield, Massachusetts, con relatos de la familia Smith]. Es la primera de sus muchas publicaciones, entre ellas 25 libros y numerosos artículos para las revistas y publicaciones periódicas de la Iglesia.
  8 de abril de 1906                Se le sostiene en la conferencia general como Historiador Auxiliar de la Iglesia, puesto que ocupa hasta marzo de 1921.
  30 de marzo de 1908               Louie Shurtliff Smith muere tras padecer una grave enfermedad relacionada con su tercer embarazo.
  2 de noviembre de 1908            Se casa con Ethel Georgina Reynolds en el Templo de Salt Lake.
  7 de abril de 1910                Su padre lo ordena apóstol.
  Octubre de 1918                   Escribe una revelación sobre la redención de los muertos dictada por su padre, que en ese momento es Presidente de la Iglesia. Esa revelación se encuentra ahora en Doctrina y Convenios 138.
  6 de enero de 1919                Se le nombra consejero de la presidencia del Templo de Salt Lake, llamamiento que ocupa hasta 1935.
  17 de marzo de 1921               Se le designa Historiador de la Iglesia, posición que ocupa hasta 1970.
  1934                              Se le nombra presidente de la Sociedad Genealógica de Utah, puesto que ocupa hasta 1961.
  26 de agosto de 1937              Ethel Reynolds Smith muere tras padecer una enfermedad durante cuatro años.
  12 de abril de 1938               Se casa con Jessie Ella Evans en el Templo de Salt Lake.
  Mayo a noviembre de 1939          Cumple una asignación especial en Europa con Jessie; visita Inglaterra, Escocia, Holanda, Bélgica, Francia, Suiza, Italia, Suecia, Noruega, Dinamarca, Checoslovaquia, Austria y Alemania. Dirige la evacuación de todos los misioneros estadounidenses en Europa después de estallar la Segunda Guerra Mundial.
  8 de junio de 1945                Se le llama a prestar servicio como presidente del Templo de Salt Lake, llamamiento que ocupa hasta 1949.
  6 de octubre de 1950              Se le aparta como Presidente en Funciones del Quórum de los Doce Apóstoles.
  9 de abril de 1951                Se le sostiene como Presidente del Quórum de los Doce Apóstoles.
  Julio a agosto de 1955            Cumple una asignación especial en Asia, acompañado de Jessie. Dedica la tierra de Guam, Corea, Okinawa y Filipinas para la predicación del Evangelio.
  Septiembre de 1958                Asiste a la dedicación del Templo de Londres, Inglaterra.
  Octubre de 1960 a enero de 1961   Acompañado de Jessie, visita a los líderes de la Iglesia y a los misioneros de Centroamérica y Sudamérica.
  Mayo de 1963                      Oficia en la colocación de la piedra angular del Templo de Oakland, California.
  Septiembre de 1963                Dedica el Monumento al Pionero en Kansas City, Misuri, y el Sitio Histórico de la Cárcel de Liberty en Liberty, Misuri.
  29 de octubre de 1965             Se le llama a prestar servicio como Consejero de la Primera Presidencia bajo la dirección del presidente David O. McKay.
  18 de enero de 1970               A la muerte del presidente David O. McKay, se convierte en el apóstol de mayor antigüedad y en el líder que preside la Iglesia.
  23 de enero de 1970               Se le aparta como Presidente de La Iglesia de Jesucristo de los Santos de los Últimos Días.
  6 de abril de 1970                Se le sostiene como Presidente de la Iglesia durante la conferencia general.
  3 de agosto de 1971               Muere Jessie Evans Smith.
  27–29 de agosto de 1971           Preside la primera conferencia de Área de la Iglesia, la cual se realiza en Manchester, Inglaterra.
  18 de enero de 1972               Ofrece la oración dedicatoria del Templo de Ogden, Utah.
  9 de febrero de 1972              Preside la dedicación del Templo de Provo, Utah. Habiendo escrito la oración dedicatoria, asigna al presidente Harold B. Lee ofrecer la oración.
  2 de julio de 1972                Muere en Salt Lake City, Utah, 17 días antes de cumplir 96 años.
  --------------------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
