La mayoría de los más de cien nuevos presidentes de misión y sus respectivas esposas comenzaron su servicio de tres años este mes en misiones por todo el mundo.

  Misión                                       Nuevo presidente
  -------------------------------------------- --------------------------
  Alabama Birmingham                           Richard N. Holzapfel
  Argentina Buenos Aires Norte                 Richard M. Gulbrandsen
  Argentina Buenos Aires Sur                   Michael J. Stapley
  Argentina Córdoba                            Alfredo L. Salas
  Arizona Mesa                                 R. Spence Ellsworth
  Arizona Tempe                                Dean L. Howes
  Armenia Yerevan                              Reese A. Carter
  Australia Brisbane                           Fritjof F. Langeland
  Australia Melbourne                          Dennis R. Lifferth
  Australia Perth                              Paul L. Cahoon
  Brasil Campinas                              R. Marshall Tanner
  Brasil Curitiba                              Derek L. Cordon
  Brasil Goiânia                               Ramón C. Prieto
  Brasil João Pessoa                           Gordon J. Hall
  Brasil Londrina                              Eduardo L. M. Tavares
  Brasil Ribeirão Preto                        Gilson R. Prieto
  Brasil Santa Maria                           Isaías D. Ribeiro
  Bolivia La Paz                               Héctor K. Quintanilla
  Bolivia Santa Cruz                           Fernando E. Calderón
  California Carlsbad                          Bruce M. Cook
  California Long Beach                        Ted F. Bubert II
  California Los Ángeles                       Stephen R. Baker
  California San Bernardino                    William E. Jardine
  Canadá Edmonton                              Chris W. Campbell
  Canadá Montreal                              Nelson C. Cannon
  Canadá Toronto Oeste                         Bradford J. Brower
  Chile Antofagasta                            Leland E. Bruce
  Chile Concepción                             Neall W. Humphrey
  Chile Rancagua                               James D. MacArthur
  Chile Santiago Oeste                         Richard W. King
  Colorado Denver Sur                          Alan R. Maynes
  Colombia Barranquilla                        Carlos A. Gaviria
  República Checa Praga                        David R. Irwin
  República Democrática del Congo Lubumbashi   Gary L. Packer
  Dinamarca Copenhague                         Jens H. Andersen
  Ecuador Guayaquil Sur                        Javier Montalti
  Inglaterra Leeds                             Jerel D. Lindley
  Florida Jacksonville                         James W. Barry
  Florida Orlando                              Garth V. Hall
  Florida Tallahassee                          Dale Jensen
  Florida Tampa                                Bruce P. Summerhays
  Guatemala Retalhuleu                         José E. Maravilla
  Hawai Honolulu                               John C. Dalton IV
  Honduras San Pedro Sula                      Ronald L. Veirs
  Idaho Boise                                  Kent H. Cannon
  India Bangalore                              Randy D. Funk
  Indiana Indianápolis                         Kent H. Collins
  Indonesia Jakarta                            George H. Groberg
  Iowa Des Moines                              Dirk O. Jergensen
  Italia Milán                                 David R. Wolfgramm
  Italia Roma                                  Thomas Kelly
  Japón Nagoya                                 Scott O. Baird
  Kenya Nairobi                                Steven H. Broadbent
  Corea Daejeon                                Mark C. Furniss
  México Chihuahua                             Gerardo Angulo
  México Culiacán                              Rolando Cantú
  México León                                  Karim Del Valle
  México Mérida                                Netzahualcoyotl Salinas
  México Ciudad de México Este                 Robert H. Hicken
  México Ciudad de México Noroeste             Tom R. Tervort
  México Ciudad de México Oeste                Carlos Villarreal
  México Monterrey Este                        Alan R. Walker
  México Villahermosa                          Nicolás Castañeda
  Michigan Detroit                             Douglas D. Holmes
  Misuri St. Louis                             Stephen D. Clark
  Mongolia Ulaanbaatar                         Kris J. Mecham
  Nevada Las Vegas Oeste                       Jerry B. Black
  New Hampshire Manchester                     David L. Wilkey
  Nuevo México Albuquerque                     Wayne K. Miller
  Nuevo México Farmington                      Spencer V. Jones
  Nueva York Rochester                         Jack R. Christianson
  Nicaragua Managua Norte                      Carlos F. Arredondo
  Nicaragua Managua Sur                        Javier F. Monestel
  Nigeria Enugu                                John K. Buah
  Oklahoma Oklahoma City                       Nolan S. Taylor
  Panamá Ciudad de Panamá                      Craig L. Ward
  Paraguay Asunción Norte                      Horacio D. Madariaga
  Pensilvania Filadelfia                       William A. Schaefermeyer
  Perú Arequipa                                Arturo Fernández
  Perú Cusco                                   Wilson B. Calderón
  Perú Lima Norte                              Lawrence P. Blunck
  Perú Lima Oeste                              J. Scott Dorius
  Perú Trujillo                                Terry D. Turk
  Filipinas Butuan                             Mernard P. Donato
  Filipinas Cagayán de Oro                     William A. Hernaez
  Filipinas Cauayan                            Rodolfo A. Carlos
  Filipinas Iloilo                             Ryan V. Pagaduan
  Filipinas Naga                               Ronald D. Bliesner
  Filipinas Quezón City                        David W. DeLaMare
  Polonia Varsovia                             Stanford W. Nielson
  Puerto Rico San Juan                         Jorge M. Alvarado
  Rusia Moscú                                  Stephen J. Sorenson
  Rusia Samara                                 Ralph J. Sartori
  Sierra Leona Freetown                        Richard Roggia
  Sudáfrica Durban                             James C. Von Stetten
  España Málaga                                Richard R. Clegg
  Taiwán Taichung                              Clark T. Bishop
  Texas Fort Worth                             Joseph M. Sagers
  Texas McAllen                                Stephen J. Trayner
  Texas San Antonio                            Stephen E. Jones
  Tonga Nuku‘alofa                             ‘Aisake K. Tukuafu
  Uganda Kampala                               Eric C. Jackson
  Uruguay Montevideo Oeste                     Ronald W. Heaton
  Utah Salt Lake City                          Bruce R. Winn
  Utah Salt Lake City Sur                      Bruce E. Miller
  Utah St. George                              Keith G. Leonard
  Venezuela Valencia                           Jorge G. Montoya
  Virginia Richmond                            James C. Perry
  Washington DC Norte                          James R. Matsumori
  Washington Everett                           D. Keith Wilson
  Washington Kennewick                         Leonard D. Greer
  Washington Seattle                           Todd S. Larkin
  Wisconsin Milwaukee                          Timothy M. Jones
