name,cat,reason,degree,fam,cooc,mentions
Él. Éstas,1,clean,44,0,24,1
Arab Raids,1,clean,1,0,0,1
the “Mound Builder Myth,1,clean,25,0,13,1
Shepherd and,1,clean,95,0,74,1
Mystic,1,clean,58,0,34,2
J. Grant,1,clean,83,0,61,1
the Juárez Stake Academy,1,clean,89,0,67,2
Hotel,1,clean,126,0,62,4
Célia Cruz Ayala,1,clean,36,0,17,1
the Demon of Dishonesty,1,clean,17,0,8,2
the Perth Australia Stake,1,clean,71,0,60,1
the Holy Ghost.²⁶,2,footnote_suffix,39,0,18,1
Missouri.172 Their,1,clean,33,0,25,1
Our Fathers,1,clean,58,0,36,1
Graduate School of Business,1,clean,53,0,38,1
Pottowatamie Indians,1,clean,38,0,31,1
Contemporary Mexican History,1,clean,68,0,37,1
Noah’s day,1,clean,163,0,114,6
the University of Calabar,1,clean,31,0,16,2
âIosepa Agricultural and Stock,1,clean,36,0,26,1
"Hebrew Instructional Wisdom: Structure,",2,trailing_punct,29,0,21,1
Missionary Department,1,clean,2960,0,2148,36
Beth-Shean,1,clean,61,0,41,2
The Records of the Past,1,clean,1,0,0,1
Yukon,1,clean,102,0,62,2
Vessel,1,clean,77,0,56,1
The Title of Liberty - Rallying,1,clean,52,0,31,1
The Earth Was Formed,5,sentence_fragment,46,0,30,1
Phoenix Press,1,clean,67,0,51,1
Herod’s Temple,1,clean,407,0,272,8
the Methodist Magazine,1,clean,95,0,70,2
prom[i]ses,4,single_lowercase,29,0,17,1
Global Histories,1,clean,1078,0,661,13
Dedica Indonesia,1,clean,21,0,15,1
Pew Research,1,clean,81,0,61,3
DutytoGod.lds.org,1,clean,13,0,10,1
Brigadier-Generals Wilson Law,1,clean,35,0,18,1
the Harvard Ostraca,1,clean,52,0,40,1
Whitman,1,clean,48,0,32,2
The State of the Church,1,clean,88,0,72,3
the Sioux Outbreak,1,clean,170,0,89,1
Prepare Sacrament Table,1,clean,63,0,53,1
Macmillan Publishing Company,1,clean,523,0,343,11
",227",5,starts_nonword,34,0,21,1
Aypian,1,clean,54,0,41,1
Harris’s Motivation,1,clean,31,0,16,1
General Authorities and Religious Educators,1,clean,539,0,371,6
Modern Example of Thoughtful Discipleship Thus,1,clean,75,0,50,1
Mechanics’ Institute: > Clutterbuck,1,clean,27,0,16,1
Catechisms Members,1,clean,36,0,26,1
Chapter IV,1,clean,44,0,28,2
the World Neal A. Maxwell,1,clean,3,0,1,1
Saqué,4,spanish_verb,49,0,28,3
D&C 132:19–24,3,scripture_ref,30,0,16,1
IE Philistia,1,clean,51,0,32,1
the Fates of Roman Mythology,1,clean,45,0,28,1
the Sandton South Africa Stake,1,clean,56,0,35,1
Multitude,1,clean,24,0,15,1
Tahchemonite,1,clean,72,0,30,3
Mahonri Moriancumer,1,clean,14,0,5,1
Gueparda,1,clean,49,0,39,1
xiv-xix,4,single_lowercase,1,0,0,1
the Egyptian Goshen,1,clean,48,0,32,1
Cylinder A,1,clean,19,0,15,1
âof Christâ,1,clean,29,0,22,1
Home Teachers,1,clean,279,0,180,10
Digital Formats,1,clean,96,0,67,1
"him,—the",4,single_lowercase,21,0,11,1
Binalonan Second Branch,1,clean,46,0,24,1
the Church: ‘You,1,clean,23,0,11,1
American Demographics 4,1,clean,81,0,52,1
Jackson’s 2005,1,clean,31,0,23,1
the UCLA School of Public Health,1,clean,38,0,27,1
the Archives of the Church of Jesus Christ of Latter-day,1,clean,415,0,257,5
Mormon Theology - Lived Religion,1,clean,22,0,16,1
the Formation of a Great Church,1,clean,46,0,34,1
-1.00,5,numeric_only,21,0,14,1
The Old Point of View 2,1,clean,44,0,30,1
Rulon D. Munns,1,clean,171,0,32,2
Crete,1,clean,2042,0,1428,39
P. Uncertainty,1,clean,24,0,18,1
The Foolish Wisdom of the Cross,1,clean,47,0,38,1
Llanvano,1,clean,106,0,55,1
Leviticus 16,1,clean,94,0,75,4
ChurchofjesusChrist.org,1,clean,30,0,23,2
the Dead Sea Scrolls Foundation,1,clean,26,0,23,1
Ural Morris Burk,1,clean,54,0,41,1
Johannine Christological,1,clean,46,0,32,1
the Piazza di St. Pietro,1,clean,48,0,31,1
Negroes May Picket Mormon Conference,1,clean,46,0,33,1
the Creator of the,1,clean,155,0,100,6
"Assmann, Death and Salvation",1,clean,50,0,27,1
Family Home Evening Resource Book,1,clean,23,0,16,2
Early Church Councils,1,clean,181,0,117,2
the Church of Jesus Christ of Latter Day Saints,1,clean,1561,0,1059,26
Scarce,1,clean,60,0,43,3
the National Conference of Christians,1,clean,32,0,21,1
Sel,1,clean,1,0,0,1
the Nineteenth Dynasty of the Pharaohs,1,clean,48,0,27,1
• InglaterraMiembros,5,starts_nonword,25,0,19,1
believer.â114,4,single_lowercase,31,0,24,1
‘Jesucristo,5,starts_nonword,129,0,80,4
FASTS,1,clean,280,0,185,7
obedecen”(²,2,footnote_suffix,37,0,22,1
↩ - Moshe Idel,5,starts_nonword,101,0,54,2
Utah Hospital Leaders Digest,1,clean,82,0,54,0
Haitian,1,clean,1110,0,786,29
Nu 25:1,1,clean,1,0,0,1
The Nephite Calendar Systems - Throughout,1,clean,47,0,36,1
Suetonius Tib,1,clean,78,0,52,1
Paul's Doctrine of Justification,1,clean,1,0,0,1
Kovářová,1,clean,36,0,15,2
Shall,1,clean,9,0,5,1
Telford Ward,1,clean,67,0,56,1
the Christology of the Church of Jesus Christ,1,clean,58,0,43,1
Recog,1,clean,1,0,0,1
the Church at Frogmarsh,1,clean,33,0,20,1
Lichenstein,1,clean,31,0,15,1
Asuntos Indígenas de EE. UU.,1,clean,57,0,31,1
Tapzit News Agency,1,clean,83,0,52,1
Nauvoo.40 Presumably,1,clean,50,0,31,1
El Espíritu de Jehová,1,clean,32,0,21,1
